node	degree
461	322
30669	237
7427	48
1797	18
30549	115
23653	41
13094	59
37505	61
50318	204
24056	227
37756	181
15197	277
40653	355
39273	105
42264	54
33394	82
5143	125
42331	108
15884	115
42180	73
48769	171
35671	35
28445	96
42641	71
8140	72
4690	59
29417	125
2707	56
41069	66
17332	60
36806	59
7459	32
3364	27
28245	155
32195	187
14867	153
12276	31
4815	9
23209	16
42677	29
39779	253
12497	297
29161	109
43591	354
31482	73
19346	61
25945	40
40001	28
10352	38
17113	153
46432	121
39558	120
42386	65
14095	40
20036	72
14559	76
56685	70
15402	75
29969	32
11264	62
14374	75
36905	178
54229	58
21115	50
32160	428
28991	65
27373	78
2161	57
33679	43
10217	54
17124	92
46789	88
43553	65
37808	339
6232	393
17154	347
3157	451
22701	135
30384	54
25399	79
28670	105
6658	663
11298	60
31701	96
9020	19
44414	22
6384	89
26936	28
49098	185
35273	33
44459	37
56718	96
22589	63
16563	124
58264	185
29323	127
19394	249
28347	75
4623	77
19297	74
22175	48
53018	23
43174	112
260	91
42220	70
44065	13
52231	21
23442	56
22685	75
7037	59
23988	54
42948	72
43874	5
8021	83
34002	52
50287	214
37840	189
27133	29
57779	99
10355	77
42949	25
48263	40
9005	25
36123	59
39212	18
401	156
23833	51
26389	113
50918	74
19223	164
55807	143
6995	86
35457	153
52545	82
28288	90
25923	140
39060	100
40785	110
45183	91
26770	140
36309	147
54881	427
54889	320
39890	946
44416	48
790	43
54760	88
52365	67
1115	27
333	40
51847	102
26940	52
17558	407
26216	110
27406	44
35939	40
11815	59
640	26
38814	32
7362	16
50386	26
27409	53
41961	73
49599	83
52170	40
32326	70
22318	90
23364	105
22351	21
32878	40
12373	34
22111	136
26864	2847
51482	31
22481	27
36577	25
13375	69
5305	216
36818	82
46043	242
10402	99
53277	76
21464	19
27889	56
31808	118
42699	31
5425	35
19154	48
9594	43
30802	73
14163	208
41670	56
52433	305
36104	269
33931	262
48519	174
9331	200
8128	74
8644	49
50470	34
24018	37
49978	100
42240	91
789	52
35714	63
15542	34
54409	77
2218	153
6468	65
48717	111
9165	59
43537	141
54387	20
31788	108
34029	66
10225	26
5736	38
40310	149
12454	159
9016	237
53146	236
48287	175
23135	569
12763	79
20303	40
51591	40
9273	63
39316	39
35583	50
22352	103
6916	23
52565	39
29010	21
2944	84
42873	98
16648	41
33832	104
27494	71
14319	60
33441	97
8101	117
11669	145
22985	679
3714	62
51061	27
12563	73
5701	18
32176	13
3794	65
33046	75
23564	82
5767	218
55440	24
37676	104
27555	37
15254	80
38153	76
28793	147
14495	57
10555	66
37525	47
27725	92
17797	71
18744	67
15722	93
20712	50
3797	10
25375	163
6083	59
57618	53
51123	103
32712	92
45986	39
50606	117
55096	43
24807	127
2529	28
40502	18
36407	39
19620	19
354	12
35908	7
51032	2
15713	5
25206	120
38428	106
49092	185
29584	245
9494	157
39517	209
48003	187
47610	93
23439	2175
43961	59
3585	42
32293	40
35892	66
26832	63
27038	116
25107	83
22018	76
41264	208
29611	30
14471	7
34385	9
4070	14
5932	47
23778	110
14352	39
38176	70
43317	65
19688	123
25830	97
38431	88
6096	271
31667	128
11265	25
40626	83
28791	90
19167	402
26792	38
1596	56
4985	247
34568	203
11594	59
52316	17
7494	120
44138	119
54415	89
41540	50
48918	26
30930	31
17123	15
16931	98
23255	60
34797	80
25010	125
5699	349
15821	71
44977	40
32992	84
14810	24
7851	27
16669	98
5754	152
56637	31
44632	46
133	47
1291	57
47608	93
28903	180
48795	99
16955	78
35900	47
53337	42
48053	120
27113	99
26244	36
31668	73
42065	122
27357	54
57275	77
33803	61
38370	108
22127	105
32343	99
50954	45
38913	92
19137	24
1311	224
32423	54
2779	48
10823	71
2469	72
21108	91
18058	410
15628	88
56937	40
16616	44
51429	144
14553	65
42394	70
58075	69
10745	183
16202	180
42630	129
39821	168
41589	67
12702	70
9378	84
42983	74
54259	97
29830	66
2200	49
2325	53
15446	36
50718	52
47065	46
55538	155
28319	157
37206	66
21326	88
7418	102
44137	15
30808	42
9870	71
4142	68
49074	38
28380	77
27049	22
8048	55
39875	13
33887	28
24717	40
27634	61
21966	64
32664	9
3459	9
25883	19
17901	109
49624	76
17559	33
10520	46
48391	35
11227	53
5849	62
27529	72
44872	82
27974	68
16268	32
2612	117
19116	113
5965	19
50865	15
32285	44
22389	36
19663	305
16018	85
5379	49
16687	346
32180	57
16357	35
1277	9
43191	27
23662	31
51610	45
6136	117
4238	97
35816	61
30264	123
55212	124
40701	274
48798	77
50801	25
1783	74
21734	77
19986	61
1295	118
