node	kcore
461	23
30669	45
7427	20
1797	13
30549	20
23653	19
13094	23
37505	24
50318	23
24056	22
37756	22
15197	22
40653	23
39273	22
42264	22
33394	22
5143	26
42331	26
15884	22
42180	22
48769	29
35671	18
28445	51
42641	22
8140	22
4690	19
29417	27
2707	19
41069	19
17332	19
36806	27
7459	15
3364	12
28245	35
32195	20
14867	20
12276	10
4815	6
23209	12
42677	12
39779	22
12497	26
29161	20
43591	35
31482	22
19346	22
25945	22
40001	17
10352	17
17113	22
46432	22
39558	22
42386	19
14095	19
20036	22
14559	20
56685	17
15402	18
29969	13
11264	18
14374	19
36905	27
54229	21
21115	20
32160	25
28991	19
27373	22
2161	20
33679	19
10217	19
17124	22
46789	22
43553	20
37808	22
6232	24
17154	24
3157	24
22701	22
30384	19
25399	20
28670	19
6658	47
11298	20
31701	25
9020	8
44414	7
6384	22
26936	13
49098	47
35273	19
44459	19
56718	22
22589	22
16563	24
58264	22
29323	22
19394	24
28347	25
4623	24
19297	21
22175	13
53018	16
43174	36
260	25
42220	22
44065	8
52231	9
23442	22
22685	31
7037	20
23988	20
42948	21
43874	4
8021	22
34002	22
50287	22
37840	22
27133	20
57779	22
10355	22
42949	15
48263	14
9005	11
36123	15
39212	10
401	22
23833	22
26389	22
50918	22
19223	22
55807	22
6995	22
35457	22
52545	22
28288	22
25923	27
39060	24
40785	22
45183	22
26770	22
36309	22
54881	24
54889	24
39890	29
44416	22
790	21
54760	22
52365	22
1115	17
333	18
51847	26
26940	23
17558	33
26216	19
27406	15
35939	15
11815	18
640	13
38814	18
7362	12
50386	10
27409	16
41961	19
49599	19
52170	16
32326	19
22318	19
23364	19
22351	9
32878	15
12373	15
22111	39
26864	41
51482	18
22481	18
36577	18
13375	19
5305	35
36818	22
46043	29
10402	22
53277	39
21464	16
27889	36
31808	22
42699	21
5425	21
19154	21
9594	22
30802	22
14163	29
41670	21
52433	57
36104	57
33931	57
48519	22
9331	22
8128	20
8644	15
50470	15
24018	14
49978	20
42240	22
789	20
35714	19
15542	15
54409	20
2218	31
6468	19
48717	19
9165	19
43537	24
54387	16
31788	19
34029	19
10225	17
5736	19
40310	19
12454	20
9016	29
53146	36
48287	36
23135	36
12763	21
20303	18
51591	18
9273	16
39316	16
35583	17
22352	22
6916	18
52565	23
29010	10
2944	17
42873	19
16648	17
33832	19
27494	22
14319	21
33441	22
8101	22
11669	54
22985	117
3714	19
51061	18
12563	21
5701	14
32176	9
3794	19
33046	19
23564	22
5767	22
55440	11
37676	19
27555	19
15254	19
38153	20
28793	34
14495	22
10555	21
37525	22
27725	22
17797	22
18744	22
15722	22
20712	27
3797	8
25375	51
6083	37
57618	21
51123	22
32712	21
45986	19
50606	22
