node	pagerank
461	0.00011130840587482785
30669	5.417876640787714e-05
7427	1.4959217589133606e-05
1797	7.54374604790476e-06
30549	3.24114668091906e-05
23653	1.682890597775275e-05
13094	1.252804113804325e-05
37505	1.1337247838698679e-05
50318	5.234006281909756e-05
24056	6.542538517863942e-05
37756	6.347703909654819e-05
15197	0.00010307291152054479
40653	0.00011794971382048882
39273	3.105935747547781e-05
42264	1.4608673254543088e-05
33394	1.817887970783627e-05
5143	2.3471032066125437e-05
42331	2.3968822424976637e-05
15884	2.5635713882111548e-05
42180	1.9051721482256403e-05
48769	4.3346895429112966e-05
35671	1.3787664382164278e-05
28445	1.2386587115156632e-05
42641	2.0193544576767227e-05
8140	1.8556151797894323e-05
4690	1.877371421628957e-05
29417	2.4123751230019512e-05
2707	1.7281994014552634e-05
41069	2.151028314122062e-05
17332	1.7401668081791472e-05
36806	1.743568231976139e-05
7459	1.4881981384042982e-05
3364	1.789933406045356e-05
28245	4.233994736040741e-05
32195	8.70382985874879e-05
14867	6.849393781726609e-05
12276	2.0747203181497495e-05
4815	9.48411482624509e-06
23209	6.689099631576137e-06
42677	1.9081706171331574e-05
39779	7.385469672673764e-05
12497	9.30215515062442e-05
29161	3.6752325579046216e-05
43591	7.70468937106251e-05
31482	2.1258884948304562e-05
19346	1.5438555451511883e-05
25945	9.897347560054434e-06
40001	9.989723642202574e-06
10352	1.5238364658153715e-05
17113	4.327876579710313e-05
46432	3.636215805451326e-05
39558	3.784604271195049e-05
42386	2.7029684883000127e-05
14095	1.5190341165650081e-05
20036	1.9619721834229003e-05
14559	2.5335249886701996e-05
56685	2.93227306520004e-05
15402	3.124822774138454e-05
29969	2.176006157628761e-05
11264	2.6462957754998148e-05
14374	3.0675166586961734e-05
36905	5.73184761388348e-05
54229	2.139176778486908e-05
21115	1.807346741466003e-05
32160	0.00012954590452793054
28991	1.775898955184118e-05
27373	2.2241780965568964e-05
2161	1.917028999696336e-05
33679	1.2926211375301502e-05
10217	1.8098701360653608e-05
17124	2.706110582790193e-05
46789	2.229807881016536e-05
43553	2.5478063735453942e-05
37808	0.00011614928446278882
6232	0.00013264476341730673
17154	0.0001015952278503351
3157	0.00015557268876845932
22701	3.539676719477433e-05
30384	1.763704212464365e-05
25399	2.328255948629534e-05
28670	4.227478005062717e-05
6658	0.00017712547304393007
11298	2.0051799217355672e-05
31701	2.0449720339948996e-05
9020	1.64575899254196e-05
44414	2.617795867056766e-05
6384	2.2342921057475424e-05
26936	1.160709255631442e-05
49098	4.055813845298036e-05
35273	9.986689335596702e-06
44459	1.4773497250499068e-05
56718	2.3083127791023978e-05
22589	1.7277027716528543e-05
16563	3.299161615521266e-05
58264	4.552835699779014e-05
29323	3.762082252396926e-05
19394	6.0192540238421295e-05
28347	1.6642876286223956e-05
4623	1.8857042102520962e-05
19297	2.17751379789506e-05
22175	3.777914674031104e-05
53018	7.044407313411009e-06
43174	2.8134627506613533e-05
260	1.8486882964872342e-05
42220	1.6358441520941385e-05
44065	1.0988322096269651e-05
52231	1.663370555520936e-05
23442	1.1236060813219375e-05
22685	1.3407793303577721e-05
7037	1.5466881722535808e-05
23988	1.6404441432370862e-05
42948	2.2375066655029256e-05
43874	5.740904908914088e-06
8021	1.970914221483284e-05
34002	1.4253791202697005e-05
50287	5.598128349748321e-05
37840	4.9636759074225904e-05
27133	1.0675511053167021e-05
57779	2.4347788190777825e-05
10355	1.7368053281770157e-05
42949	1.1166720858107667e-05
48263	1.9768758425852297e-05
9005	1.4135871350668113e-05
36123	3.06818444110909e-05
39212	1.102756198978086e-05
401	4.248266115879597e-05
23833	1.725652924791579e-05
26389	4.542041611522581e-05
50918	2.1513289308190535e-05
19223	5.0432331961655045e-05
55807	3.2091364820312606e-05
6995	2.2714007370012982e-05
35457	4.329905046123833e-05
52545	2.08095085115161e-05
28288	2.946121386531167e-05
25923	2.4517645165714377e-05
39060	2.0551961215776414e-05
40785	2.969733534068871e-05
45183	2.5904828751093564e-05
26770	3.535468765086542e-05
36309	3.895060856610983e-05
54881	0.00013557481311264922
54889	0.00010239178419854666
39890	0.00023484486059528742
44416	1.0715733871270516e-05
790	1.4361483064130177e-05
54760	2.846033401896081e-05
52365	2.352795571392706e-05
1115	1.105628615848579e-05
333	1.4986819851026097e-05
51847	2.698285753480832e-05
26940	1.3432603449949408e-05
17558	0.0001456510568147008
26216	4.4300802994250675e-05
27406	2.2942697404058058e-05
35939	1.8997893924557533e-05
11815	2.8051756372383518e-05
640	1.535723412584587e-05
38814	1.2790353441580539e-05
7362	1.0144239366899054e-05
50386	1.685081469631907e-05
27409	2.560457878815761e-05
41961	2.49315313878688e-05
49599	2.4515243664237355e-05
52170	1.855875715474311e-05
32326	2.4457581173151484e-05
22318	3.536277572336043e-05
23364	3.3017262924582347e-05
22351	1.4170928402061124e-05
32878	2.0515780025505446e-05
12373	1.9042691055907016e-05
22111	2.8416566239467465e-05
26864	0.0009328202101393652
51482	8.158843120910773e-06
22481	9.648096840915983e-06
36577	1.2510628382465378e-05
13375	2.1407668311024204e-05
5305	4.3191144396235475e-05
36818	2.1423973305866274e-05
46043	6.074341219441846e-05
10402	2.6280587130870383e-05
53277	1.1547969750270189e-05
21464	4.420367050139086e-06
27889	6.513793274862239e-06
31808	3.0974156741989985e-05
42699	1.0990480144440445e-05
5425	1.1375099733538377e-05
19154	1.31914714390629e-05
9594	1.353650581189279e-05
30802	2.1967823050534002e-05
14163	5.719479388299287e-05
41670	1.5749599945077065e-05
52433	7.95241831986852e-05
36104	7.427416863137721e-05
33931	7.063347300167712e-05
48519	5.444821369474329e-05
9331	5.485983332240373e-05
8128	2.6055246764822484e-05
8644	3.065402943623855e-05
50470	1.9423174346104072e-05
24018	2.4680394798232288e-05
49978	3.577687497164064e-05
42240	2.6616367423731404e-05
789	1.4269057137081682e-05
35714	1.8059599298473312e-05
15542	1.839935636779441e-05
54409	2.9771206234909087e-05
2218	2.982447718310862e-05
6468	2.02720673515991e-05
48717	3.633808350729455e-05
9165	1.5224420332715052e-05
43537	2.9403770030917867e-05
54387	8.42336293167332e-06
31788	3.7003991036544724e-05
34029	2.73270951477715e-05
10225	1.4765289407944258e-05
5736	1.460149925294793e-05
40310	4.976832825862573e-05
12454	4.4060281938760094e-05
9016	6.761470574370837e-05
53146	5.538368443476652e-05
48287	4.5611462232772506e-05
23135	0.0001362602477361726
12763	3.1938522042036733e-05
20303	1.8497113437959027e-05
51591	1.23270989809584e-05
9273	4.117094269121033e-05
39316	2.178121539463044e-05
35583	2.5516740955561654e-05
22352	2.4500628383822196e-05
6916	7.2202583418449015e-06
52565	8.892104702995237e-06
29010	1.7834483881442296e-05
2944	4.5971020029955556e-05
42873	3.354966170241903e-05
16648	1.6506870696347196e-05
33832	3.818671618963004e-05
27494	1.8289944579472135e-05
14319	2.1446329065345984e-05
33441	2.646531590597163e-05
8101	3.389999658225778e-05
11669	3.404033423222793e-05
22985	0.0001447404366562626
3714	2.687592221000995e-05
51061	1.2434882556347722e-05
12563	2.2594604361790126e-05
5701	9.174258721295915e-06
32176	7.376360284353563e-06
3794	1.761224224197399e-05
33046	2.2740039781894348e-05
23564	2.544297425582869e-05
5767	6.33991556517038e-05
55440	1.2356931345886998e-05
37676	2.9183982251210763e-05
27555	1.3768866504897849e-05
15254	2.653260333285388e-05
38153	2.6360362434489195e-05
28793	1.996046239516151e-05
14495	1.711402961806321e-05
10555	2.0248693319735e-05
37525	1.0898795777034113e-05
27725	2.0273882255286335e-05
17797	1.6146122180294982e-05
18744	1.924810142179728e-05
15722	2.8572209074193752e-05
20712	1.2372886648218226e-05
3797	6.36696028365138e-06
25375	2.8665389017037144e-05
6083	8.42015685130276e-06
57618	1.586787292753059e-05
51123	2.5764547770195826e-05
32712	2.4312854295421087e-05
45986	1.3053383732891136e-05
50606	3.814116903145551e-05
55096	1.60009900079363e-05
24807	6.146547294229319e-05
2529	1.4543324240115147e-05
40502	1.178449216416218e-05
36407	2.693636816945472e-05
19620	1.6774483621166252e-05
354	1.5035633707008898e-05
35908	1.4356372221845539e-05
